real_project,p_typo,typosquat,namesquat,harmful,mal_code_file
requests,drequests,True,False,True,__init__.py
requests,sgrequests,True,False,True,sgrequests_test.py
pip,rip,True,False,True,test_api_request_builder.py
docutils,ccutils,True,False,True,BaseConfigLine.py
docutils,gcutils,True,False,True,formal.py
rsa,bsa,True,False,True,test_zone_parser.py
oauthlib,moauthlib,True,False,True,base.py
click,nclick,True,False,True,cv.py
pyjwt,pyrwt,True,False,True,wavelets.py
coverage,coverart,True,False,True,__init__.py
boto,goto,True,False,True,useragents.py
boto,doto,True,False,True,domain.py
ipaddress,pyaddress,True,False,True,dstk.py
ipython,upython,True,False,True,pyboard.py
nbformat,sdformat,True,False,True,browser_controller.py
gunicorn,funicorn,True,False,True,mqueue.py
py4j,pymj,True,False,True,__init__.py
psycopg2,psycopg2da,True,False,True,types_extras.py
mako,mano,True,False,True,__version__.py
babel,bazel,True,False,True,setup.py
nltk,pltk,True,False,True,limit.py
dnspython,zpspython,True,False,True,setup.py
greenlet,greent,True,False,True,oxo.py
pycrypto,pycryptopp,True,False,True,_version.py
ply,iply,True,False,True,externip.py
selenium,sylenium,True,False,True,test_selenium_grid_endpoint.py
bs4,bsa,True,False,True,test_zone_parser.py
bs4,bss,True,False,True,dfcio.py
toolz,tools,True,False,True,user_agent.py
lockfile,logfile,True,False,True,bdist_wininst.py
blobfile,logfile,True,False,True,bdist_wininst.py
sh,msh,True,False,True,autoWrite.py
sh,sg,True,False,True,conftest.py
sh,sm,True,False,True,sm.py
scp,ncp,True,False,True,app.py
scp,qcp,True,False,True,qcp.py
pip-tools,pyiptools,True,False,True,ip6.py
moto,goto,True,False,True,useragents.py
moto,doto,True,False,True,domain.py
apscheduler,aschedule,True,False,True,setup.py
shap,shaw,True,False,True,parser.py
uamqp,amqp,True,False,True,conf.py
pystan,pystun,True,False,True,test_cli.py
pystan,pyscan,True,False,True,pyscan.py
pystache,pystack,True,False,True,dns.py
pystache,pystacia,True,False,True,func.py
rx,rp,True,False,True,TestOSC.py
pkgconfig,logconfig,True,False,True,__init__.py
poyo,pogo,True,False,True,file_lister.py
pygam,pygal,True,False,True,__about__.py
pygam,pygcam,True,False,True,gui_plugin.py
cloudant,cloudns,True,False,True,user.py
extras,extra,True,False,True,setup.py
setuptools,nbsetuptools,True,False,False,
urllib3,urllib5,True,False,False,
botocore,bitcore,True,False,False,
botocore,kotocore,True,False,False,
botocore,bonecore,True,False,False,
requests,rerequests,True,False,False,
requests,requestx,True,False,False,
requests,byrequests,True,False,False,
requests,arequests,True,False,False,
requests,curequests,True,False,False,
requests,qrequest,True,False,False,
requests,trequests,True,False,False,
requests,requestry,True,False,False,
requests,requests5,True,False,False,
requests,vrequest,True,False,False,
python-dateutil,pythondateutil,True,False,False,
idna,dna,True,False,False,
pip,p2p,True,False,False,
pip,pin,True,False,False,
pip,ppp,True,False,False,
pip,pir,True,False,False,
pip,pi3,True,False,False,
pip,pyp,True,False,False,
pip,pipa,True,False,False,
pip,plip,True,False,False,
pip,pimp,True,False,False,
pip,pipo,True,False,False,
pip,piep,True,False,False,
pip,ptp,True,False,False,
pip,pbp,True,False,False,
pip,kip,True,False,False,
pip,p4p,True,False,False,
pip,bip,True,False,False,
pip,pis,True,False,False,
pip,yip,True,False,False,
pip,uip,True,False,False,
pip,pi,True,False,False,
pip,pipp,True,False,False,
pip,pxp,True,False,False,
pip,pig,True,False,False,
pip,pit,True,False,False,
pip,lip,True,False,False,
pip,pvp,True,False,False,
docutils,danutils,True,False,False,
docutils,decutils,True,False,False,
docutils,dautils,True,False,False,
docutils,robutils,True,False,False,
docutils,dpyutils,True,False,False,
docutils,oputils,True,False,False,
docutils,ipcutils,True,False,False,
docutils,dtutils,True,False,False,
docutils,dt-utils,True,False,False,
docutils,cwcutils,True,False,False,
docutils,dj-utils,True,False,False,
docutils,botutils,True,False,False,
docutils,dr-utils,True,False,False,
docutils,tecutils,True,False,False,
docutils,ncutils,True,False,False,
docutils,ioutils,True,False,False,
docutils,ocutils,True,False,False,
docutils,outils,True,False,False,
docutils,arcutils,True,False,False,
docutils,jobutils,True,False,False,
docutils,dl_utils,True,False,False,
docutils,dutils,True,False,False,
docutils,dox-utils,True,False,False,
docutils,btcutils,True,False,False,
docutils,dfutils,True,False,False,
docutils,dsgutils,True,False,False,
docutils,dhlutils,True,False,False,
docutils,dockutil,True,False,False,
docutils,logutils,True,False,False,
docutils,dz-utils,True,False,False,
pyyaml,pyyaxml,True,False,False,
pyyaml,pyhaml,True,False,False,
jmespath,jmespand,True,False,False,
rsa,msa,True,False,False,
rsa,rsq,True,False,False,
rsa,prsa,True,False,False,
rsa,osa,True,False,False,
rsa,rsl,True,False,False,
rsa,rosa,True,False,False,
rsa,isa,True,False,False,
rsa,rta,True,False,False,
rsa,gsa,True,False,False,
rsa,ra,True,False,False,
rsa,rss,True,False,False,
rsa,dsa,True,False,False,
rsa,rst,True,False,False,
boto3,botor,True,False,False,
boto3,botox,True,False,False,
numpy,numty,True,False,False,
numpy,lumpy,True,False,False,
numpy,snumpy,True,False,False,
numpy,numpi,True,False,False,
numpy,gnumpy,True,False,False,
numpy,bumpy,True,False,False,
numpy,numpyx,True,False,False,
numpy,dumpy,True,False,False,
numpy,gumpy,True,False,False,
numpy,pumpy,True,False,False,
pytz,pytb,True,False,False,
pytz,pyth,True,False,False,
pytz,pitz,True,False,False,
pytz,pytg,True,False,False,
pytz,pytv,True,False,False,
pytz,pyta,True,False,False,
pytz,pytf,True,False,False,
pytz,mytz,True,False,False,
pytz,pytp,True,False,False,
pytz,pytm,True,False,False,
pytz,pyzz,True,False,False,
colorama,colorname,True,False,False,
colorama,logorama,True,False,False,
colorama,coloradd,True,False,False,
jinja2,jinja,True,False,False,
jinja2,ninja2,True,False,False,
protobuf,protobluff,True,False,False,
protobuf,protobufp,True,False,False,
protobuf,protodf,True,False,False,
protobuf,protobuf3,True,False,False,
protobuf,pyprotobuf,True,False,False,
oauthlib,athlib,True,False,False,
requests-oauthlib,requestsoauthlib,True,False,False,
importlib-metadata,importlibmetadata,True,False,False,
zipp,mipp,True,False,False,
zipp,zippo,True,False,False,
zipp,zippy,True,False,False,
zipp,zipa,True,False,False,
zipp,pipp,True,False,False,
click,flick,True,False,False,
click,clack,True,False,False,
attrs,attrz,True,False,False,
pyparsing,cpyparsing,True,False,False,
pyparsing,djparsing,True,False,False,
pandas,xpandas,True,False,False,
pandas,pandas3,True,False,False,
pandas,panda,True,False,False,
pandas,fpandas,True,False,False,
pandas,panddas,True,False,False,
pycparser,pyparse,True,False,False,
pycparser,pyparser,True,False,False,
pycparser,popparser,True,False,False,
pycparser,pyjsparser,True,False,False,
pycparser,podparser,True,False,False,
pycparser,pssparser,True,False,False,
pycparser,pyauparser,True,False,False,
decorator,decorate,True,False,False,
decorator,decorated,True,False,False,
google-auth,googleoauth,True,False,False,
google-auth,googleauth,True,False,False,
google-auth,google-oauth,True,False,False,
google-auth,googlereauth,True,False,False,
scipy,shipy,True,False,False,
scipy,scripy,True,False,False,
scipy,sdipy,True,False,False,
scipy,cipy,True,False,False,
scipy,sc4py,True,False,False,
scipy,scpy,True,False,False,
scipy,swipy,True,False,False,
scipy,scipp,True,False,False,
pyasn1-modules,pyasn1modules,True,False,False,
jsonschema,json_schema,True,False,False,
jsonschema,jsonldschema,True,False,False,
pygments,pymets,True,False,False,
pygments,pyevents,True,False,False,
pygments,pygenes,True,False,False,
pygments,pyagents,True,False,False,
pygments,pygamentos,True,False,False,
py,dy,True,False,False,
py,ry,True,False,False,
py,pyp,True,False,False,
py,pd,True,False,False,
py,ay,True,False,False,
py,pyi,True,False,False,
py,pk,True,False,False,
py,py1,True,False,False,
py,pv,True,False,False,
py,p1,True,False,False,
py,pyy,True,False,False,
py,p4,True,False,False,
py,qpy,True,False,False,
py,pye,True,False,False,
py,fy,True,False,False,
py,pys,True,False,False,
py,spy,True,False,False,
py,pc,True,False,False,
py,ypy,True,False,False,
py,p,True,False,False,
py,apy,True,False,False,
py,p3,True,False,False,
py,pf,True,False,False,
py,pyk,True,False,False,
py,pi,True,False,False,
py,pyj,True,False,False,
py,vpy,True,False,False,
py,py2,True,False,False,
py,upy,True,False,False,
py,wpy,True,False,False,
py,vy,True,False,False,
py,pyf,True,False,False,
py,py3,True,False,False,
py,pyr,True,False,False,
py,my,True,False,False,
py,pg,True,False,False,
py,px,True,False,False,
py,ly,True,False,False,
google-api-core,googleapicore,True,False,False,
psutil,tsutil,True,False,False,
psutil,vsutil,True,False,False,
psutil,pvutil,True,False,False,
psutil,osutil,True,False,False,
pyjwt,pypwt,True,False,False,
pyjwt,pyjwe,True,False,False,
pytest,pyttest,True,False,False,
pytest,p-test,True,False,False,
pytest,py.test,True,False,False,
pytest,mytest,True,False,False,
pytest,spytest,True,False,False,
pytest,pitest,True,False,False,
pillow,willow,True,False,False,
more-itertools,moreitertools,True,False,False,
websocket-client,websocketclient,True,False,False,
websocket-client,websocket-client2,True,False,False,
pluggy,plugpy,True,False,False,
google-cloud-storage,googlecloudstorage,True,False,False,
msrest,mstest,True,False,False,
googleapis-common-protos,googleapiscommonprotos,True,False,False,
wrapt,wrap2,True,False,False,
wrapt,rapt,True,False,False,
sqlalchemy,qtalchemy,True,False,False,
sqlalchemy,etlalchemy,True,False,False,
sqlalchemy,mqlalchemy,True,False,False,
sqlalchemy,nosqlalchemy,True,False,False,
flask,glask,True,False,False,
flask,elask,True,False,False,
flask,flash,True,False,False,
flask,flast,True,False,False,
flask,flisk,True,False,False,
flask,slask,True,False,False,
flask,mlask,True,False,False,
flask,flaskr,True,False,False,
flask,jflask,True,False,False,
flask,flasky,True,False,False,
flask,flapsk,True,False,False,
google-resumable-media,googleresumablemedia,True,False,False,
entrypoints,entrypoint,True,False,False,
redis,vredis,True,False,False,
redis,mredis,True,False,False,
redis,medis,True,False,False,
redis,ledis,True,False,False,
redis,vedis,True,False,False,
tqdm,tsdm,True,False,False,
tqdm,ptqdm,True,False,False,
pexpect,aexpect,True,False,False,
pexpect,fexpect,True,False,False,
tornado,tornadio,True,False,False,
tornado,qtornado,True,False,False,
tornado,toronado,True,False,False,
defusedxml,defusedyaml,True,False,False,
defusedxml,defusedyml,True,False,False,
ptyprocess,t_process,True,False,False,
simplejson,simplescn,True,False,False,
simplejson,simpleubjson,True,False,False,
simplejson,simplepso,True,False,False,
prometheus-client,prometheusclient,True,False,False,
boto,boko,True,False,False,
boto,oto,True,False,False,
boto,botf,True,False,False,
boto,botor,True,False,False,
boto,iboto,True,False,False,
boto,koto,True,False,False,
boto,botox,True,False,False,
boto,both,True,False,False,
prompt-toolkit,prompt-tool-kit,True,False,False,
prompt-toolkit,prompttoolkit,True,False,False,
tensorflow,sensorflow,True,False,False,
tensorflow,tensorplot,True,False,False,
tensorflow,tensornow,True,False,False,
tensorflow,tensorflowio,True,False,False,
tensorflow,tensorflowjs,True,False,False,
ipaddress,address,True,False,False,
ipaddress,jmaddress,True,False,False,
ipaddress,usaddress,True,False,False,
ipaddress,ipaddresses,True,False,False,
ipaddress,bitaddress,True,False,False,
google-auth-oauthlib,googleauthoauthlib,True,False,False,
ipython,vipython,True,False,False,
ipython,fpython,True,False,False,
ipython,gpython,True,False,False,
ipython,mpython,True,False,False,
scikit-learn,scikitlearn,True,False,False,
uritemplate,aitemplate,True,False,False,
uritemplate,uritemplatepy,True,False,False,
google-cloud-core,googlecloudcore,True,False,False,
traitlets,straitlets,True,False,False,
ipython-genutils,ipythongenutils,True,False,False,
matplotlib,yaplotlib,True,False,False,
matplotlib,mapsplotlib,True,False,False,
matplotlib,danplotlib,True,False,False,
tabulate,tabulapy,True,False,False,
tabulate,tabular,True,False,False,
tabulate,tabula,True,False,False,
tensorflow-estimator,tensorflowestimator,True,False,False,
virtualenv,ezvirtualenv,True,False,False,
virtualenv,rvirtualenv,True,False,False,
virtualenv,virtualenv2,True,False,False,
lxml,lxxl,True,False,False,
lxml,lsml,True,False,False,
lxml,gxml,True,False,False,
lxml,exml,True,False,False,
lxml,ixml,True,False,False,
pyopenssl,pyopenbsd,True,False,False,
pyzmq,pyczmq,True,False,False,
pyzmq,pyzmp,True,False,False,
configparser,config-pyrser,True,False,False,
pycodestyle,codestyle,True,False,False,
toml,tbml,True,False,False,
toml,tomd,True,False,False,
toml,tml,True,False,False,
toml,tool,True,False,False,
toml,toil,True,False,False,
toml,tome,True,False,False,
filelock,livelock,True,False,False,
filelock,killlock,True,False,False,
docker,docklr,True,False,False,
docker,locker,True,False,False,
docker,dock-r,True,False,False,
docker,djocker,True,False,False,
docker,tocker,True,False,False,
psycopg2-binary,psycopg2binary,True,False,False,
google-auth-httplib2,googleauthhttplib2,True,False,False,
nbformat,k-format,True,False,False,
nbformat,pformat,True,False,False,
nbformat,rformat,True,False,False,
nbformat,reformat,True,False,False,
nbformat,format,True,False,False,
nbformat,dformat,True,False,False,
google-cloud-bigquery,googlecloudbigquery,True,False,False,
gunicorn,unicorm,True,False,False,
gunicorn,djgunicorn,True,False,False,
regex,regexf,True,False,False,
regex,regexp,True,False,False,
bcrypt,jcrypt,True,False,False,
bcrypt,ncrypt,True,False,False,
bcrypt,vcrypt,True,False,False,
bcrypt,ccrypt,True,False,False,
mock,monk,True,False,False,
mock,rock,True,False,False,
mock,moc,True,False,False,
mock,mocka,True,False,False,
mock,nock,True,False,False,
mock,mocki,True,False,False,
mock,vmock,True,False,False,
mock,mocs,True,False,False,
mock,muck,True,False,False,
mock,mocky,True,False,False,
mock,qmock,True,False,False,
pynacl,pyacl,True,False,False,
pynacl,pynaco,True,False,False,
pynacl,pynac,True,False,False,
azure-storage-blob,azurestorageblob,True,False,False,
azure-common,azurecommon,True,False,False,
typed-ast,typedast,True,False,False,
typed-ast,typecast,True,False,False,
jupyter-client,jupyterclient,True,False,False,
nbconvert,ctconvert,True,False,False,
nbconvert,bgconvert,True,False,False,
nbconvert,mdconvert,True,False,False,
nbconvert,negconvert,True,False,False,
nbconvert,heconvert,True,False,False,
nbconvert,convert,True,False,False,
testpath,testpad,True,False,False,
testpath,testpack,True,False,False,
testpath,testmath,True,False,False,
testpath,test-math,True,False,False,
testpath,astpath,True,False,False,
testpath,testmath2,True,False,False,
testpath,testpay,True,False,False,
notebook,notework,True,False,False,
notebook,noteblog,True,False,False,
notebook,vpnotebook,True,False,False,
notebook,nosebook,True,False,False,
notebook,notetool,True,False,False,
terminado,terminator,True,False,False,
terminado,terminal,True,False,False,
paramiko,paramikope,True,False,False,
absl-py,abslpy,True,False,False,
pyflakes,pyfaces,True,False,False,
pyflakes,pyflare,True,False,False,
pyflakes,pyfaker,True,False,False,
pyflakes,pylates,True,False,False,
pyflakes,pyflags,True,False,False,
pyflakes,pyflakes3k,True,False,False,
flake8,iflake8,True,False,False,
flake8,flaker,True,False,False,
cycler,cycle,True,False,False,
ujson,bjson,True,False,False,
ujson,ejson,True,False,False,
ujson,ojson,True,False,False,
ujson,rjson,True,False,False,
ujson,pjson,True,False,False,
ujson,mjson,True,False,False,
pbr,pbd,True,False,False,
pbr,pir,True,False,False,
pbr,pbp,True,False,False,
pbr,pkr,True,False,False,
pbr,pbs,True,False,False,
pbr,cbr,True,False,False,
pbr,pmr,True,False,False,
pbr,pnr,True,False,False,
pbr,pbl,True,False,False,
pbr,pwr,True,False,False,
pbr,pyr,True,False,False,
pbr,br,True,False,False,
markdown,cmarkdown,True,False,False,
markdown,mgmarkdown,True,False,False,
markdown,pymarkdown,True,False,False,
markdown,markdoc,True,False,False,
markdown,markdownpp,True,False,False,
markdown,mashdown,True,False,False,
gitpython,vipython,True,False,False,
gitpython,gat-python,True,False,False,
gitpython,datpython,True,False,False,
gitpython,gpython,True,False,False,
azure-devops,azuredevops,True,False,False,
tensorflow-metadata,tensorflowmetadata,True,False,False,
argparse,rparse,True,False,False,
argparse,blargparse,True,False,False,
argparse,dargparse,True,False,False,
argparse,dsargparse,True,False,False,
argparse,argparse2,True,False,False,
argparse,jargparse,True,False,False,
argparse,argparseui,True,False,False,
argparse,gxargparse,True,False,False,
argparse,sargeparse,True,False,False,
argparse,apiparse,True,False,False,
argparse,irrparse,True,False,False,
argparse,cvargparse,True,False,False,
lazy-object-proxy,lazyobjectproxy,True,False,False,
sqlparse,mqlparser,True,False,False,
sqlparse,psqlparse,True,False,False,
sqlparse,splparser,True,False,False,
smart-open,smartopen,True,False,False,
termcolor,termcolor2,True,False,False,
termcolor,termcolors,True,False,False,
termcolor,xtermcolor,True,False,False,
termcolor,tarocolor,True,False,False,
typing,xtyping,True,False,False,
qtconsole,kpconsole,True,False,False,
qtconsole,htconsole,True,False,False,
qtconsole,nconsole,True,False,False,
qtconsole,fbconsole,True,False,False,
qtconsole,bzconsole,True,False,False,
jupyter-console,jupyterconsole,True,False,False,
typing-extensions,typingextensions,True,False,False,
smmap,cmmap,True,False,False,
smmap,smap,True,False,False,
qtpy,qetpy,True,False,False,
qtpy,qpy,True,False,False,
qtpy,atpy,True,False,False,
qtpy,qt.py,True,False,False,
isort,tsort,True,False,False,
h5py,hapy,True,False,False,
h5py,hypy,True,False,False,
h5py,h3py,True,False,False,
h5py,hppy,True,False,False,
py4j,py4s,True,False,False,
py4j,pyj,True,False,False,
multidict,multidiff,True,False,False,
multidict,multidoc,True,False,False,
tensorflow-serving-api,tensorflowservingapi,True,False,False,
tensorflow-transform,tensorflowtransform,True,False,False,
google-cloud-logging,googlecloudlogging,True,False,False,
oauth2client,oauthclient,True,False,False,
gitdb,gitnb,True,False,False,
gitdb,gitdh,True,False,False,
gitdb,getdb,True,False,False,
azure-core,azurecore,True,False,False,
azure-core,azuremlcore,True,False,False,
tfx-bsl,tfxbsl,True,False,False,
adal,kadal,True,False,False,
adal,dal,True,False,False,
requests-toolbelt,requeststoolbelt,True,False,False,
dill,dila,True,False,False,
psycopg2,psycopgda,True,False,False,
pymongo,ipymongo,True,False,False,
pymongo,ppmongo,True,False,False,
pymongo,cymongo,True,False,False,
pymongo,pymono,True,False,False,
mako,mak,True,False,False,
mako,pako,True,False,False,
mako,maro,True,False,False,
mako,hmako,True,False,False,
mako,mayo,True,False,False,
mako,maki,True,False,False,
mako,tako,True,False,False,
mako,makuo,True,False,False,
mako,mapo,True,False,False,
jedi,edi,True,False,False,
jedi,tedi,True,False,False,
jedi,nedi,True,False,False,
jedi,jeni,True,False,False,
jedi,gedi,True,False,False,
jedi,jadi,True,False,False,
pathlib2,patalib,True,False,False,
pathlib2,pathlims,True,False,False,
pathlib2,athlib,True,False,False,
networkx,network,True,False,False,
networkx,networkml,True,False,False,
networkx,networks,True,False,False,
networkx,networkl,True,False,False,
networkx,tnetwork,True,False,False,
distro,distry,True,False,False,
distro,distri,True,False,False,
parso,parst,True,False,False,
msgpack,umsgpack,True,False,False,
importlib-resources,importlibresources,True,False,False,
pytest-cov,pytest-doc,True,False,False,
pytest-cov,pytestcsv,True,False,False,
pytest-cov,pytest-poo,True,False,False,
pytest-cov,pytest-oot,True,False,False,
pytest-cov,pytestcov,True,False,False,
cython,rython,True,False,False,
cython,cwthon,True,False,False,
cython,qython,True,False,False,
pandas-gbq,pandas-bj,True,False,False,
pandas-gbq,pandasgbq,True,False,False,
gast,gist,True,False,False,
gast,gust,True,False,False,
gast,gasp,True,False,False,
gast,iast,True,False,False,
gast,cast,True,False,False,
gast,gst,True,False,False,
gast,gas,True,False,False,
gast,gant,True,False,False,
gast,gash,True,False,False,
gast,gatt,True,False,False,
pydata-google-auth,pydatagoogleauth,True,False,False,
tensorflow-data-validation,tensorflowdatavalidation,True,False,False,
tensorflow-model-analysis,tensorflowmodelanalysis,True,False,False,
pylint,pylist,True,False,False,
pylint,pyrint,True,False,False,
pylint,pyling,True,False,False,
backports-abc,backportsabc,True,False,False,
backports-abc,backports_abc,True,False,False,
atomicwrites,atomicwrite,True,False,False,
keras-preprocessing,keraspreprocessing,True,False,False,
django,tjango,True,False,False,
django,djangox,True,False,False,
django,xdjango,True,False,False,
django,djangoq,True,False,False,
django,djangy,True,False,False,
django,dj-ango,True,False,False,
django,tdjango,True,False,False,
django,dojango,True,False,False,
django,ajango,True,False,False,
python-editor,pythoneditor,True,False,False,
babel,babex,True,False,False,
babel,label,True,False,False,
babel,bayel,True,False,False,
babel,bagel,True,False,False,
yarl,yajl,True,False,False,
yarl,yard,True,False,False,
yarl,yaul,True,False,False,
yarl,yarb,True,False,False,
yarl,yaro,True,False,False,
yarl,earl,True,False,False,
yarl,yarp,True,False,False,
yarl,carl,True,False,False,
yarl,yaxl,True,False,False,
yarl,yapl,True,False,False,
aiohttp,aio.http,True,False,False,
ordereddict,cyordereddict,True,False,False,
azure-storage-common,azurestoragecommon,True,False,False,
pymysql,pymysql2,True,False,False,
async-timeout,asynctimeout,True,False,False,
nltk,mltk,True,False,False,
nltk,jnltk,True,False,False,
nltk,nlpk,True,False,False,
nltk,dltk,True,False,False,
nltk,altk,True,False,False,
nltk,lltk,True,False,False,
dnspython,dyn-python,True,False,False,
dnspython,bspython,True,False,False,
dnspython,dtwpython,True,False,False,
dnspython,dwapython,True,False,False,
dnspython,datpython,True,False,False,
dnspython,nspython,True,False,False,
dnspython,ns1python,True,False,False,
dnspython,dcpython,True,False,False,
dnspython,ans-python,True,False,False,
dnspython,dbuspython,True,False,False,
ruamel-yaml,ruamelyaml,True,False,False,
google-pasta,googlepasta,True,False,False,
xmltodict,xmldict,True,False,False,
xmltodict,xml2dict,True,False,False,
keras-applications,kerasapplications,True,False,False,
datadog,datadoc,True,False,False,
datadog,datahog,True,False,False,
greenlet,greenev,True,False,False,
greenlet,greennet,True,False,False,
greenlet,greenet,True,False,False,
greenlet,greenart,True,False,False,
greenlet,greentea,True,False,False,
ruamel-yaml-clib,ruamelyamlclib,True,False,False,
xlsxwriter,xls-writer,True,False,False,
xlsxwriter,cpxlsxwriter,True,False,False,
elasticsearch,elasticsearch10,True,False,False,
elasticsearch,elasticsearch1,True,False,False,
elasticsearch,elasticsearch9,True,False,False,
elasticsearch,elasticsearch8,True,False,False,
databricks-cli,databrickscli,True,False,False,
s3fs,s3ts,True,False,False,
pytest-runner,pytestrunner,True,False,False,
astor,aster,True,False,False,
pycrypto,pyscrypt,True,False,False,
pycrypto,pycryptoms,True,False,False,
pycrypto,sscrypto,True,False,False,
pycrypto,fcrypto,True,False,False,
pycrypto,recrypto,True,False,False,
pycrypto,pycryptokg,True,False,False,
pycrypto,pkcrypt,True,False,False,
pycrypto,xscrypto,True,False,False,
pycrypto,xcrypto,True,False,False,
pycrypto,pybcrypt,True,False,False,
pycrypto,ezcrypto,True,False,False,
websockets,esockets,True,False,False,
websockets,djwebsockets,True,False,False,
websockets,websocket,True,False,False,
websockets,uwebsockets,True,False,False,
mypy,mcpy,True,False,False,
mypy,rypy,True,False,False,
mypy,mypc,True,False,False,
mypy,mmpy,True,False,False,
mypy,cypy,True,False,False,
mypy,typy,True,False,False,
mypy,hypy,True,False,False,
mypy,mdpy,True,False,False,
mypy,ypy,True,False,False,
mypy,mvpy,True,False,False,
mypy,mypi,True,False,False,
mypy,myppy,True,False,False,
mypy,mipy,True,False,False,
mypy,mspy,True,False,False,
cached-property,cachedproperty,True,False,False,
jsonpickle,jsonpickler,True,False,False,
azure-nspkg,azurenspkg,True,False,False,
gevent,getent,True,False,False,
gevent,event,True,False,False,
black,blck,True,False,False,
black,slack,True,False,False,
black,clack,True,False,False,
black,block,True,False,False,
text-unidecode,textunidecode,True,False,False,
oscrypto,sscrypto,True,False,False,
oscrypto,fcrypto,True,False,False,
